Messung_Nr,Abstand_Real,Abstand_Sensor,Abweichung
1,10.0,10.618557,-0.618557
2,12.0,12.697595,-0.697595
3,14.0,14.75945,-0.75945
4,16.0,15.80756,0.19244
5,18.0,16.460482,1.539518
6,20.0,19.347078,0.652922
7,22.0,21.323023,0.676977
8,24.0,23.762886,0.237114
9,26.0,25.80756,0.19244
10,28.0,28.161512,-0.161512
11,30.0,29.312714,0.687286
12,32.0,30.378006,1.621994
13,34.0,32.714775,1.285225
14,36.0,35.085911,0.914089
15,38.0,36.39175,1.60825
16,40.0,38.247421,1.752579
17,42.0,40.567009,1.432991
18,44.0,42.182129,1.817871
19,46.0,44.140892,1.859108
20,48.0,46.134022,1.865978
