Messung_Nr,Abstand_Sensor,interpolierter_Wert,Abweichung
1,10.652921,10.033057,-0.619863
2,12.714776,12.016666,-0.69811
3,13.745705,13.016667,-0.729038
4,15.80756,16.0,0.19244
5,16.460482,17.999999,1.539517
6,19.364262,20.017393,0.653131
7,21.323023,22.0,0.676977
8,22.869415,23.267606,0.398191
9,24.364262,24.588236,0.223975
10,27.268042,27.240876,-0.027165
11,28.728521,28.985074,0.256552
12,31.168385,32.676471,1.508087
13,33.006874,34.246379,1.239505
14,34.587627,35.579709,0.992082
15,36.61512,38.240743,1.625623
16,39.415806,41.007407,1.591601
17,40.120274,41.614815,1.494541
18,43.539516,45.385964,1.846447
19,44.123711,45.982457,1.858746
20,46.134022,48.0,1.865978
