Messung_Nr,Zeitstempel,Abstand_Sensor,interpolierter_Wert,Abweichung,ProfilHoehe
1,2026-01-16 11:16:05,15.463918,13.0,-0.119655,0.0
2,2026-01-16 11:16:05,15.463918,13.0,-0.119655,0.0
3,2026-01-16 11:16:06,15.481099,13.0,-0.104051,0.0
4,2026-01-16 11:16:06,15.463918,13.0,-0.119655,0.0
5,2026-01-16 11:16:06,15.481099,13.0,-0.104051,0.0
6,2026-01-16 11:16:06,15.481099,13.0,-0.104051,0.0
7,2026-01-16 11:16:06,15.446735,13.0,-0.13526,0.0
8,2026-01-16 11:16:06,15.446735,13.0,-0.13526,0.0
9,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
10,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
11,2026-01-16 11:16:06,15.841925,13.0,0.26334,0.0
12,2026-01-16 11:16:06,15.498281,13.0,-0.088446,0.0
13,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
14,2026-01-16 11:16:06,15.790378,13.0,0.176835,0.0
15,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
16,2026-01-16 11:16:06,15.841925,13.0,0.26334,0.0
17,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
18,2026-01-16 11:16:06,15.841925,13.0,0.26334,0.0
19,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
20,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
21,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
22,2026-01-16 11:16:06,15.790378,13.0,0.176835,0.0
23,2026-01-16 11:16:06,15.841925,13.0,0.26334,0.0
24,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
25,2026-01-16 11:16:06,15.841925,13.0,0.26334,0.0
26,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
27,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
28,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
29,2026-01-16 11:16:06,16.786942,13.0,1.439248,0.0
30,2026-01-16 11:16:06,14.106529,13.0,-0.739863,0.0
31,2026-01-16 11:16:06,17.113401,13.0,1.338979,0.0
32,2026-01-16 11:16:06,15.80756,13.0,0.19244,0.0
33,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
34,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
35,2026-01-16 11:16:06,15.824742,13.0,0.22789,0.0
36,2026-01-16 11:16:06,4.312715,3.933884,-0.37883,9.066116
37,2026-01-16 11:16:07,3.006873,2.677686,-0.329186,10.322314
38,2026-01-16 11:16:07,3.006873,2.677686,-0.329186,10.322314
39,2026-01-16 11:16:08,2.989691,2.661157,-0.328533,10.338843
40,2026-01-16 11:16:09,2.989691,2.661157,-0.328533,10.338843
41,2026-01-16 11:16:10,3.006873,2.677686,-0.329186,10.322314
42,2026-01-16 11:16:11,3.006873,2.677686,-0.329186,10.322314
43,2026-01-16 11:16:12,2.989691,2.661157,-0.328533,10.338843
44,2026-01-16 11:16:13,2.972509,2.644629,-0.32788,10.355371
45,2026-01-16 11:16:14,3.006873,2.677686,-0.329186,10.322314
46,2026-01-16 11:16:15,4.295533,3.917356,-0.378177,9.082644
47,2026-01-16 11:16:16,7.233677,6.743802,-0.489875,6.256198
48,2026-01-16 11:16:17,5.945017,5.504133,-0.440885,7.495867
49,2026-01-16 11:16:18,6.271478,5.818182,-0.453296,7.181818
50,2026-01-16 11:16:19,7.250859,6.76033,-0.490528,6.23967
51,2026-01-16 11:16:20,7.577319,7.07438,-0.502939,5.92562
52,2026-01-16 11:16:21,7.577319,7.07438,-0.502939,5.92562
53,2026-01-16 11:16:23,7.577319,7.07438,-0.502939,5.92562
54,2026-01-16 11:16:24,7.594501,7.090909,-0.503593,5.909091
55,2026-01-16 11:16:25,7.90378,7.38843,-0.51535,5.61157
56,2026-01-16 11:16:26,4.621993,4.231405,-0.390588,8.768595
57,2026-01-16 11:16:27,4.639175,4.247934,-0.391241,8.752066
58,2026-01-16 11:16:28,3.298969,2.958678,-0.340291,10.041322
59,2026-01-16 11:16:29,3.333333,2.991736,-0.341597,10.008264
60,2026-01-16 11:16:30,3.333333,2.991736,-0.341597,10.008264
61,2026-01-16 11:16:31,3.316151,2.975207,-0.340944,10.024793
62,2026-01-16 11:16:32,3.298969,2.958678,-0.340291,10.041322
63,2026-01-16 11:16:33,3.316151,2.975207,-0.340944,10.024793
64,2026-01-16 11:16:34,3.333333,2.991736,-0.341597,10.008264
65,2026-01-16 11:16:35,3.333333,2.991736,-0.341597,10.008264
66,2026-01-16 11:16:36,4.329897,3.950414,-0.379483,9.049586
67,2026-01-16 11:16:37,5.618556,5.190083,-0.428474,7.809917
68,2026-01-16 11:16:38,4.621993,4.231405,-0.390588,8.768595
69,2026-01-16 11:16:39,4.639175,4.247934,-0.391241,8.752066
70,2026-01-16 11:16:40,5.601375,5.173554,-0.427821,7.826446
71,2026-01-16 11:16:41,5.927835,5.487603,-0.440232,7.512397
72,2026-01-16 11:16:42,5.601375,5.173554,-0.427821,7.826446
73,2026-01-16 11:16:43,3.298969,2.958678,-0.340291,10.041322
74,2026-01-16 11:16:44,3.316151,2.975207,-0.340944,10.024793
75,2026-01-16 11:16:45,3.333333,2.991736,-0.341597,10.008264
76,2026-01-16 11:16:46,3.333333,2.991736,-0.341597,10.008264
77,2026-01-16 11:16:47,3.333333,2.991736,-0.341597,10.008264
78,2026-01-16 11:16:48,2.353952,2.049587,-0.304365,10.950413
79,2026-01-16 11:16:49,2.353952,2.049587,-0.304365,10.950413
80,2026-01-16 11:16:51,2.353952,2.049587,-0.304365,10.950413
81,2026-01-16 11:16:52,2.33677,2.033058,-0.303711,10.966942
82,2026-01-16 11:16:53,3.659794,3.305786,-0.354008,9.694214
83,2026-01-16 11:16:54,3.659794,3.305786,-0.354008,9.694214
84,2026-01-16 11:16:55,3.659794,3.305786,-0.354008,9.694214
85,2026-01-16 11:16:56,4.621993,4.231405,-0.390588,8.768595
86,2026-01-16 11:16:57,13.745705,13.0,-0.729038,0.0
87,2026-01-16 11:16:58,17.113401,13.0,1.338979,0.0
88,2026-01-16 11:16:59,15.80756,13.0,0.19244,0.0
89,2026-01-16 11:17:00,14.106529,13.0,-0.739863,0.0
90,2026-01-16 11:17:01,15.841925,13.0,0.26334,0.0
91,2026-01-16 11:17:02,15.790378,13.0,0.176835,0.0
