id,real_cm,sensor_raw,diff,ts
623,20.000000,19.000000,1.000000,2026-01-13 16:05:59
624,10.000000,19.000000,-9.000000,2026-01-13 16:06:04
625,11.000000,19.000000,-8.000000,2026-01-13 16:06:06
626,1.000000,19.000000,-18.000000,2026-01-13 16:06:07
627,1.000000,19.000000,-18.000000,2026-01-13 16:06:08
628,1.000000,19.000000,-18.000000,2026-01-13 16:06:09
629,1.000000,19.000000,-18.000000,2026-01-13 16:06:10
630,1.000000,19.000000,-18.000000,2026-01-13 16:06:11
631,1.000000,19.000000,-18.000000,2026-01-13 16:06:12
632,1.000000,19.000000,-18.000000,2026-01-13 16:06:13
633,1.000000,19.000000,-18.000000,2026-01-13 16:06:15
634,1.000000,19.000000,-18.000000,2026-01-13 16:06:19
635,1.000000,19.000000,-18.000000,2026-01-13 16:06:20
636,1.000000,19.000000,-18.000000,2026-01-13 16:06:22
637,1.000000,19.000000,-18.000000,2026-01-13 16:06:23
638,1.000000,6.000000,-5.000000,2026-01-13 16:06:24
639,1.000000,19.000000,-18.000000,2026-01-13 16:06:25
640,1.000000,19.000000,-18.000000,2026-01-13 16:06:26
641,1.000000,19.000000,-18.000000,2026-01-13 16:06:28
642,1.000000,19.000000,-18.000000,2026-01-13 16:06:29
643,23.000000,5.910652,17.089348,2026-01-13 16:40:55
644,23.000000,5.893471,17.106529,2026-01-13 16:41:00
645,23.000000,5.893471,17.106529,2026-01-13 16:41:01
646,23.000000,5.910652,17.089348,2026-01-13 16:41:02
647,23.000000,5.910652,17.089348,2026-01-13 16:41:05
648,23.000000,5.893471,17.106529,2026-01-13 16:41:06
649,23.000000,5.910652,17.089348,2026-01-13 16:41:08
650,23.000000,5.910652,17.089348,2026-01-13 16:41:09
651,23.000000,5.876288,17.123712,2026-01-13 16:41:10
652,23.000000,5.893471,17.106529,2026-01-13 16:41:12
653,23.000000,5.910652,17.089348,2026-01-13 16:41:13
654,23.000000,5.910652,17.089348,2026-01-13 16:41:14
655,23.000000,5.910652,17.089348,2026-01-13 16:41:16
656,23.000000,5.910652,17.089348,2026-01-13 16:41:18
657,23.000000,5.910652,17.089348,2026-01-13 16:41:19
658,23.000000,5.893471,17.106529,2026-01-13 16:41:20
659,23.000000,5.893471,17.106529,2026-01-13 16:41:21
660,23.000000,5.910652,17.089348,2026-01-13 16:41:23
661,23.000000,5.910652,17.089348,2026-01-13 16:41:24
662,23.000000,5.876288,17.123712,2026-01-13 16:41:25
